-nan nan
6.51126 67.6299
8.32056 78.9805
24.2469 186.083
16.5533 129.166
29.8771 220.715
7.37643 72.4348
12.1786 109.584
10.2104 91.6225
6.52522 66.3484
6.91035 70.0283
30.6285 222.744
7.0191 69.6597
27.6621 196.377
10.6372 92.9626
10.7138 94.1644
67.3139 405.352
20.6486 156.921
19.4848 144.967
21.4453 156.611
7.86269 78.9422
24.3614 175.48
10.5564 94.1291
9.19214 83.8325
15.9759 130.804
24.9023 183.522
5.55721 60.6074
13.5194 113.512
5.58184 60.6525
6.02646 64.2895
10.2974 92.7245
33.2972 234.706
7.04738 69.891
22.1102 158.255
17.9688 139.793
7.93105 79.8947
6.30024 65.3814
107.355 677.637
14.7485 114.497
5.71485 60.9755
10.7325 98.7033
11.5977 100.953
22.6376 175.34
46.5887 312.188
19.8532 148.978
8.45731 84.7318
5.53737 60.5453
24.0521 181.3
5.39849 60.6436
22.2454 165.964
23.6352 166.309
10.8637 97.5618
7.5334 73.8257
15.1394 124.631
9.54533 86.1567
7.01108 72.5396
9.66731 88.3412
13.7797 112.065
48.8524 361.175
13.7625 114.329
5.78766 61.8184
12.9341 108.051
7.38906 74.729
29.3214 203.933
14.1402 113.903
14.1122 111.052
18.0591 151.103
29.5286 224.228
24.9957 200.323
11.5965 108.524
18.7352 146.721
9.53415 87.0714
11.9981 108.169
19.3994 149.677
45.9359 341.043
28.7983 204.462
13.796 113.916
9.87592 89.7673
31.8334 219.726
7.3689 76.0439
31.7237 219.83
13.0293 109.017
28.5703 208.108
8.2924 79.1497
8.02714 76.2896
9.31306 88.2878
20.8873 161.525
16.8704 131.538
9.9386 87.3214
6.86648 70.2977
9.32587 86.9684
26.9879 199.218
7.86586 76.1904
13.1714 110.916
9.31868 84.5331
39.3923 261.184
5.7765 61.993
8.61856 80.8124
8.5144 80.7962
8.67527 81.5121
11.9796 103.487
9.48945 85.9168
5.83819 62.7384
21.6008 159.393
9.4173 86.4777
11.1373 100.676
